"","X","RouteDataID","CountryNum","StateNum","Route","RPID","Year","AOU","RouteName","Active","Latitude","Longitude","Stratum","BCR","RouteTypeID","RouteTypeDetailID","Count10","Count20","Count30","Count40","Count50","StopTotal","SpeciesTotal","Month","Day","ObsN","TotalSpp","StartTemp","EndTemp","TempScale","StartWind","EndWind","StartSky","EndSky","StartTime","EndTime","Assistant","QualityCurrentID","RunType"
"37165",37165,6368874,840,34,46,101,2018,700,"BRADBURY",1,39.3149204,-88.195176,31,22,1,1,0,0,0,0,0,0,0,5,28,1140603,75,69,NA,"F",0,1,0,0,456,919,"NULL",1,1
"37166",37166,6371114,840,34,46,101,2019,700,"BRADBURY",1,39.3149204,-88.195176,31,22,1,1,0,0,0,0,0,0,0,6,8,1140603,67,69,NA,"F",2,2,2,5,456,902,"1   ",1,1
"37167",37167,6374417,840,34,46,101,2021,700,"BRADBURY",1,39.3149204,-88.195176,31,22,1,1,0,0,0,0,0,0,0,6,6,1140603,68,64,NA,"F",0,1,2,2,456,903,"1   ",1,1
"37168",37168,6377170,840,34,46,101,2022,700,"BRADBURY",1,39.3149204,-88.195176,31,22,1,1,0,0,0,0,0,0,0,5,31,1140603,64,71,NA,"F",2,4,0,0,456,901,"1   ",1,1
"37169",37169,6380413,840,34,46,101,2023,700,"BRADBURY",1,39.3149204,-88.195176,31,22,1,1,0,0,0,0,0,0,0,5,28,1140603,68,52,NA,"F",1,1,2,1,456,925,"1   ",1,1
"37201",37201,6245127,840,34,47,101,2001,700,"HUMBOLDT",1,39.6153298,-88.3865649,31,22,1,1,0,0,0,0,0,0,0,6,14,980711,48,65,NA,"F",1,2,0,0,456,928,"0   ",1,1
"37202",37202,6246188,840,34,47,101,2002,700,"HUMBOLDT",1,39.6153298,-88.3865649,31,22,1,1,0,0,0,0,0,0,0,6,14,980711,50,58,NA,"F",2,2,0,0,456,925,"0   ",1,1
"37203",37203,6165789,840,34,47,101,2003,700,"HUMBOLDT",1,39.6153298,-88.3865649,31,22,1,1,0,0,0,0,0,0,0,7,14,980711,52,70,NA,"F",0,2,2,2,456,916,"0   ",0,0
"37204",37204,6237029,840,34,47,101,2004,700,"HUMBOLDT",1,39.6153298,-88.3865649,31,22,1,1,0,0,0,0,0,0,0,6,23,980711,43,60,NA,"F",0,0,0,1,456,916,"0   ",1,1
"37205",37205,6236256,840,34,47,101,2005,700,"HUMBOLDT",1,39.6153298,-88.3865649,31,22,1,1,0,0,0,0,0,0,0,6,21,980711,48,60,NA,"F",0,2,0,0,456,916,"0   ",1,1
"37206",37206,6251874,840,34,47,101,2006,700,"HUMBOLDT",1,39.6153298,-88.3865649,31,22,1,1,0,0,0,0,0,0,0,7,6,980711,45,65,NA,"F",0,1,0,0,456,913,"NULL",1,1
"37207",37207,6261716,840,34,47,101,2007,700,"HUMBOLDT",1,39.6153298,-88.3865649,31,22,1,1,0,0,0,0,0,0,0,7,1,980711,45,60,NA,"F",1,1,1,1,456,917,"NULL",1,1
"37208",37208,6299896,840,34,47,101,2008,700,"HUMBOLDT",1,39.6153298,-88.3865649,31,22,1,1,0,0,0,0,0,0,0,7,6,980711,45,62,NA,"F",1,2,0,1,456,859,"NULL",1,1
"37209",37209,6312037,840,34,47,101,2009,700,"HUMBOLDT",1,39.6153298,-88.3865649,31,22,1,1,0,0,0,0,0,0,0,6,30,980711,44,62,NA,"F",0,2,0,1,456,901,"NULL",1,1
"37210",37210,6318047,840,34,47,101,2010,700,"HUMBOLDT",1,39.6153298,-88.3865649,31,22,1,1,0,0,0,0,0,0,0,7,3,981140,41,60,NA,"F",1,2,0,0,503,930,"NULL",1,1
"37211",37211,6341832,840,34,47,101,2011,700,"HUMBOLDT",1,39.6153298,-88.3865649,31,22,1,1,0,0,0,0,0,0,0,6,30,981140,41,63,NA,"F",0,2,0,0,502,918,"NULL",1,1
"37212",37212,6345917,840,34,47,101,2012,700,"HUMBOLDT",1,39.6153298,-88.3865649,31,22,1,1,0,0,0,0,0,0,0,6,26,981140,39,53,NA,"F",2,3,0,0,505,908,"NULL",1,1
"37213",37213,6354836,840,34,47,101,2014,700,"HUMBOLDT",1,39.6153298,-88.3865649,31,22,1,1,0,0,0,0,0,0,0,6,25,981140,48,67,NA,"F",0,1,0,0,503,903,"0   ",1,1
"37214",37214,6358855,840,34,47,101,2015,700,"HUMBOLDT",1,39.6153298,-88.3865649,31,22,1,1,0,0,0,0,0,0,0,6,28,981140,44,59,NA,"F",1,2,0,1,500,910,"0   ",1,1
"37215",37215,6362350,840,34,47,101,2016,700,"HUMBOLDT",1,39.6153298,-88.3865649,31,22,1,1,0,0,0,0,0,0,0,7,5,981140,46,67,NA,"F",0,1,0,0,503,915,"0   ",1,1
"37216",37216,6365389,840,34,47,101,2017,700,"HUMBOLDT",1,39.6153298,-88.3865649,31,22,1,1,0,0,0,0,0,0,0,6,4,981140,51,71,NA,"F",1,2,1,1,456,913,"0   ",1,1
"37217",37217,6368228,840,34,47,101,2018,700,"HUMBOLDT",1,39.6153298,-88.3865649,31,22,1,1,0,0,0,0,0,0,0,6,20,1190628,60,70,NA,"F",1,2,2,2,502,913,"0   ",1,1
"37218",37218,6371775,840,34,47,101,2019,700,"HUMBOLDT",1,39.6153298,-88.3865649,31,22,1,1,0,0,0,0,0,0,0,6,21,981295,58,61,NA,"F",1,4,0,0,455,902,"0   ",1,1
"37219",37219,6374651,840,34,47,101,2021,700,"HUMBOLDT",1,39.6153298,-88.3865649,31,22,1,1,0,0,0,0,0,0,0,6,13,981295,54,71,NA,"F",0,4,0,0,456,920,"0   ",1,1
"37220",37220,6378247,840,34,47,101,2022,700,"HUMBOLDT",1,39.6153298,-88.3865649,31,22,1,1,0,0,0,0,0,0,0,6,28,981295,59,55,NA,"F",0,3,0,0,456,908,"0   ",1,1
"37221",37221,6381694,840,34,47,101,2023,700,"HUMBOLDT",1,39.6153298,-88.3865649,31,22,1,1,0,0,0,0,0,0,0,6,29,981295,44,73,NA,"F",2,4,4,2,456,923,"0   ",1,1
"37253",37253,6243928,840,34,48,101,2001,700,"MARTINSVILLE",1,39.318607,-87.7777573,31,22,1,1,0,0,0,0,0,0,0,6,16,1190475,62,53,NA,"F",1,1,0,0,452,841,"0   ",1,1
"37254",37254,6166421,840,34,48,101,2003,700,"MARTINSVILLE",1,39.318607,-87.7777573,31,22,1,1,0,0,0,0,0,0,0,6,14,980370,63,65,NA,"F",0,1,5,2,452,1018,"0   ",1,1
"37255",37255,6236804,840,34,48,101,2004,700,"MARTINSVILLE",1,39.318607,-87.7777573,31,22,1,1,0,0,0,0,0,0,0,6,6,980370,68,60,NA,"F",0,2,2,0,452,926,"0   ",1,1
"37256",37256,6235371,840,34,48,101,2005,700,"MARTINSVILLE",1,39.318607,-87.7777573,31,22,1,1,0,0,0,0,0,0,0,6,19,980370,65,60,NA,"F",1,2,0,0,452,914,"0   ",1,1
"37257",37257,6251875,840,34,48,101,2006,700,"MARTINSVILLE",1,39.318607,-87.7777573,31,22,1,1,0,0,0,0,0,0,0,6,17,980370,64,60,NA,"F",0,1,1,1,452,909,"NULL",1,1
"37258",37258,6262614,840,34,48,101,2007,700,"MARTINSVILLE",1,39.318607,-87.7777573,31,22,1,1,0,0,0,0,0,0,0,6,29,980370,58,63,NA,"F",0,2,2,2,452,926,"NULL",1,1
"37259",37259,6299313,840,34,48,101,2008,700,"MARTINSVILLE",1,39.318607,-87.7777573,31,22,1,1,0,0,0,0,0,0,0,6,15,980370,63,65,NA,"F",0,1,0,0,452,933,"NULL",1,1
"37260",37260,6312486,840,34,48,101,2009,700,"MARTINSVILLE",1,39.318607,-87.7777573,31,22,1,1,0,0,0,0,0,0,0,6,7,980370,58,63,NA,"F",0,2,0,0,452,935,"NULL",1,1
"37261",37261,6341833,840,34,48,101,2011,700,"MARTINSVILLE",1,39.318607,-87.7777573,31,22,1,1,0,0,0,0,0,0,0,6,24,980370,57,64,NA,"F",1,2,2,2,452,915,"NULL",1,1
"37262",37262,6346664,840,34,48,101,2012,700,"MARTINSVILLE",1,39.318607,-87.7777573,31,22,1,1,0,0,0,0,0,0,0,6,15,980370,62,56,NA,"F",0,1,0,1,452,924,"NULL",1,1
"37263",37263,6353569,840,34,48,101,2013,700,"MARTINSVILLE",1,39.318607,-87.7777573,31,22,1,1,0,0,0,0,0,0,0,6,20,980370,66,64,NA,"F",0,1,2,1,452,932,"0   ",1,1
"37264",37264,6368332,840,34,48,101,2018,700,"MARTINSVILLE",1,39.318607,-87.7777573,31,22,1,1,0,0,0,0,0,0,0,6,17,1040765,52,75,NA,"F",0,2,0,0,454,1015,"0   ",1,1
"37265",37265,6372754,840,34,48,101,2019,700,"MARTINSVILLE",1,39.318607,-87.7777573,31,22,1,1,0,0,0,0,0,0,0,6,29,1040765,52,68,NA,"F",0,0,0,0,452,952,"0   ",1,1
"37266",37266,6375207,840,34,48,101,2021,700,"MARTINSVILLE",1,39.318607,-87.7777573,31,22,1,1,0,0,0,0,0,0,0,6,6,1040765,50,64,NA,"F",0,2,1,2,500,1130,"0   ",1,1
"37267",37267,6377257,840,34,48,101,2022,700,"MARTINSVILLE",1,39.318607,-87.7777573,31,22,1,1,0,0,0,0,0,0,0,6,5,1040765,49,61,NA,"F",0,2,2,2,458,1025,"0   ",1,1
"37268",37268,6381153,840,34,48,101,2023,700,"MARTINSVILLE",1,39.318607,-87.7777573,31,22,1,1,0,0,0,0,0,0,0,6,18,1040765,54,55,NA,"F",1,3,0,1,454,942,"0   ",1,1
"37294",37294,6245130,840,34,49,101,2001,700,"COLUMBIA",1,38.3851828,-90.2587326,31,22,1,1,0,0,0,0,0,0,0,6,11,1090461,72,62,NA,"F",3,2,0,1,507,924,"0   ",1,1
"37295",37295,6246191,840,34,49,101,2002,700,"COLUMBIA",1,38.3851828,-90.2587326,31,22,1,1,0,0,0,0,0,0,0,6,15,1090461,68,61,NA,"F",0,3,0,0,507,932,"0   ",1,1
"37296",37296,6165792,840,34,49,101,2003,700,"COLUMBIA",1,38.3851828,-90.2587326,31,22,1,1,0,0,0,0,0,0,0,6,8,1090461,74,61,NA,"F",2,3,1,0,507,916,"0   ",1,1
"37297",37297,6237033,840,34,49,101,2004,700,"COLUMBIA",1,38.3851828,-90.2587326,31,22,1,1,0,0,0,0,0,0,0,6,18,1090461,77,62,NA,"F",0,1,1,2,507,931,"0   ",1,1
"37298",37298,6236257,840,34,49,101,2005,700,"COLUMBIA",1,38.3851828,-90.2587326,31,22,1,1,0,0,0,0,0,0,0,6,12,1090461,73,61,NA,"F",1,2,2,2,507,922,"0   ",1,1
"37299",37299,6251876,840,34,49,101,2006,700,"COLUMBIA",1,38.3851828,-90.2587326,31,22,1,1,0,0,0,0,0,0,0,6,10,1090461,78,65,NA,"F",0,2,0,1,507,925,"NULL",1,1
"37300",37300,6261299,840,34,49,101,2007,700,"COLUMBIA",1,38.3851828,-90.2587326,31,22,1,1,0,0,0,0,0,0,0,6,9,1090461,73,59,NA,"F",0,2,0,0,507,927,"NULL",1,1
"37301",37301,6298334,840,34,49,101,2008,700,"COLUMBIA",1,38.3851828,-90.2587326,31,22,1,1,0,0,0,0,0,0,0,6,8,1090461,68,64,NA,"F",3,3,0,0,507,911,"NULL",1,1
"37302",37302,6310983,840,34,49,101,2009,700,"COLUMBIA",1,38.3851828,-90.2587326,31,22,1,1,0,0,0,0,0,0,0,6,7,1090461,78,62,NA,"F",1,1,1,2,507,919,"NULL",1,1
"37303",37303,6317580,840,34,49,101,2010,700,"COLUMBIA",1,38.3851828,-90.2587326,31,22,1,1,0,0,0,0,0,0,0,6,13,1090461,78,70,NA,"F",0,1,1,0,507,917,"NULL",1,1
"37304",37304,6341834,840,34,49,101,2011,700,"COLUMBIA",1,38.3851828,-90.2587326,31,22,1,1,0,0,0,0,0,0,0,6,4,1090461,75,77,NA,"F",2,1,0,0,507,849,"NULL",1,1
"37305",37305,6344280,840,34,49,101,2012,700,"COLUMBIA",1,38.3851828,-90.2587326,31,22,1,1,0,0,0,0,0,0,0,6,2,1090461,74,53,NA,"F",2,2,2,2,507,912,"NULL",1,1
"37306",37306,6351074,840,34,49,101,2013,700,"COLUMBIA",1,38.3851828,-90.2587326,31,22,1,1,0,0,0,0,0,0,0,6,9,1090461,75,64,NA,"F",0,2,1,2,507,909,"0   ",1,1
"37307",37307,6354792,840,34,49,101,2014,700,"COLUMBIA",1,38.3851828,-90.2587326,31,22,1,1,0,0,0,0,0,0,0,6,14,1090461,73,53,NA,"F",0,2,0,0,507,917,"0   ",1,1
"37308",37308,6358147,840,34,49,101,2015,700,"COLUMBIA",1,38.3851828,-90.2587326,31,22,1,1,0,0,0,0,0,0,0,6,6,1090461,71,66,NA,"F",1,2,0,0,507,904,"0   ",1,1
"37309",37309,6361503,840,34,49,101,2016,700,"COLUMBIA",1,38.3851828,-90.2587326,31,22,1,1,0,0,0,0,0,0,0,6,5,1090461,71,62,NA,"F",2,4,0,0,507,911,"0   ",1,1
"37310",37310,6364586,840,34,49,101,2017,700,"COLUMBIA",1,38.3851828,-90.2587326,31,22,1,1,0,0,0,0,0,0,0,6,3,1090461,75,64,NA,"F",0,0,0,0,507,904,"0   ",1,1
"37311",37311,6367516,840,34,49,101,2018,700,"COLUMBIA",1,38.3851828,-90.2587326,31,22,1,1,0,0,0,0,0,0,0,6,2,1090461,74,73,NA,"F",0,1,0,2,507,912,"0   ",1,1
"37312",37312,6374567,840,34,49,101,2021,700,"COLUMBIA",1,38.3851828,-90.2587326,31,22,1,1,0,0,0,0,0,0,0,6,5,1090461,73,64,NA,"F",0,0,1,0,507,909,"0   ",1,1
"37313",37313,6377368,840,34,49,101,2022,700,"COLUMBIA",1,38.3851828,-90.2587326,31,22,1,1,0,0,0,0,0,0,0,6,4,1090461,81,57,NA,"F",0,0,1,0,507,914,"0   ",1,1
"37314",37314,6380260,840,34,49,101,2023,700,"COLUMBIA",1,38.3851828,-90.2587326,31,22,1,1,0,0,0,0,0,0,0,6,4,1090461,78,64,NA,"F",0,1,0,2,507,905,"0   ",1,1
"37348",37348,6245133,840,34,50,101,2001,700,"MASCOUTAH LK",1,38.5256201,-89.8193422,31,22,1,1,0,0,0,0,0,0,0,6,3,1070119,55,57,NA,"F",1,1,1,2,503,914,"1   ",1,1
"37349",37349,6246194,840,34,50,101,2002,700,"MASCOUTAH LK",1,38.5256201,-89.8193422,31,22,1,1,0,0,0,0,0,0,0,6,16,1070119,60,65,NA,"F",0,3,1,1,503,909,"1   ",1,1
"37350",37350,6165794,840,34,50,101,2003,700,"MASCOUTAH LK",1,38.5256201,-89.8193422,31,22,1,1,0,0,0,0,0,0,0,6,15,1070119,55,69,NA,"F",2,2,2,2,503,911,"1   ",1,1
"37351",37351,6236259,840,34,50,101,2005,700,"MASCOUTAH LK",1,38.5256201,-89.8193422,31,22,1,1,0,0,0,0,0,0,0,6,26,1070250,81,78,NA,"F",0,0,2,0,503,946,"NULL",1,1
"37352",37352,6251877,840,34,50,101,2006,700,"MASCOUTAH LK",1,38.5256201,-89.8193422,31,22,1,1,0,0,0,0,0,0,0,6,4,1070250,83,65,NA,"F",1,1,2,2,503,944,"NULL",1,1
"37353",37353,6261648,840,34,50,101,2007,700,"MASCOUTAH LK",1,38.5256201,-89.8193422,31,22,1,1,0,0,0,0,0,0,0,6,1,1000398,76,62,NA,"F",0,4,5,1,512,1022,"NULL",1,1
"37354",37354,6299716,840,34,50,101,2008,700,"MASCOUTAH LK",1,38.5256201,-89.8193422,31,22,1,1,0,0,0,0,0,0,0,6,7,1000398,71,66,NA,"F",4,4,2,1,509,1032,"NULL",0,0
"37355",37355,6311265,840,34,50,101,2009,700,"MASCOUTAH LK",1,38.5256201,-89.8193422,31,22,1,1,0,0,0,0,0,0,0,5,30,1000398,81,57,NA,"F",0,3,0,1,506,1103,"NULL",1,1
"37356",37356,6319400,840,34,50,101,2010,700,"MASCOUTAH LK",1,38.5256201,-89.8193422,31,22,1,1,0,0,0,0,0,0,0,5,29,1000398,79,66,NA,"F",0,1,0,1,510,1014,"NULL",1,1
"37357",37357,6341835,840,34,50,101,2011,700,"MASCOUTAH LK",1,38.5256201,-89.8193422,31,22,1,1,0,0,0,0,0,0,0,5,29,1000398,81,67,NA,"F",0,4,0,1,510,1020,"NULL",1,1
"37358",37358,6346707,840,34,50,101,2012,700,"MASCOUTAH LK",1,38.5256201,-89.8193422,31,22,1,1,0,0,0,0,0,0,0,5,27,1000398,82,64,NA,"F",1,3,2,1,514,1000,"NULL",1,1
"37359",37359,6352047,840,34,50,101,2013,700,"MASCOUTAH LK",1,38.5256201,-89.8193422,31,22,1,1,0,0,0,0,0,0,0,5,27,1000398,79,70,NA,"F",1,4,1,1,510,1019,"0   ",1,1
"37360",37360,6355893,840,34,50,101,2014,700,"MASCOUTAH LK",1,38.5256201,-89.8193422,31,22,1,1,0,0,0,0,0,0,0,6,7,1000398,82,66,NA,"F",0,4,1,2,511,1021,"0   ",1,1
"37361",37361,6358807,840,34,50,101,2015,700,"MASCOUTAH LK",1,38.5256201,-89.8193422,31,22,1,1,0,0,0,0,0,0,0,5,27,1000398,81,64,NA,"F",2,2,1,0,511,1230,"0   ",0,0
"37362",37362,6362652,840,34,50,101,2016,700,"MASCOUTAH LK",1,38.5256201,-89.8193422,31,22,1,1,0,0,0,0,0,0,0,5,28,1000398,74,66,NA,"F",2,4,2,1,505,1047,"1   ",1,1
"37363",37363,6366230,840,34,50,101,2017,700,"MASCOUTAH LK",1,38.5256201,-89.8193422,31,22,1,1,0,0,0,0,0,0,0,5,27,1000398,86,65,NA,"F",0,2,2,1,506,1102,"0   ",1,1
"37364",37364,6368894,840,34,50,101,2018,700,"MASCOUTAH LK",1,38.5256201,-89.8193422,31,22,1,1,0,0,0,0,0,0,0,5,28,1000398,79,67,NA,"F",0,2,1,0,504,1034,"1   ",1,1
"37365",37365,6373010,840,34,50,101,2019,700,"MASCOUTAH LK",1,38.5256201,-89.8193422,31,22,1,1,0,0,0,0,0,0,0,6,1,1000398,76,59,NA,"F",0,2,2,1,500,1038,"1   ",1,1
"37366",37366,6376348,840,34,50,101,2021,700,"MASCOUTAH LK",1,38.5256201,-89.8193422,31,22,1,1,0,0,0,0,0,0,0,5,29,1000398,73,48,NA,"F",2,3,2,2,506,1106,"1   ",1,1
"37367",37367,6378780,840,34,50,101,2022,700,"MASCOUTAH LK",1,38.5256201,-89.8193422,31,22,1,1,0,0,0,0,0,0,0,5,28,1000398,76,52,NA,"F",0,3,0,2,503,1100,"1   ",1,1
"37368",37368,6381743,840,34,50,101,2023,700,"MASCOUTAH LK",1,38.5256201,-89.8193422,31,22,1,1,0,0,0,0,0,0,0,5,27,1000398,73,52,NA,"F",1,2,2,1,501,1014,"1   ",1,1
"37397",37397,6243932,840,34,51,101,2001,700,"JAMESTOWN",1,38.6981367,-89.5364836,31,22,1,1,0,0,0,0,0,0,0,6,17,1070250,62,65,NA,"F",0,1,1,2,506,920,"0   ",1,1
"37398",37398,6245742,840,34,51,101,2002,700,"JAMESTOWN",1,38.6981367,-89.5364836,31,22,1,1,0,0,0,0,0,0,0,6,2,1070250,58,72,NA,"F",1,2,1,1,503,930,"0   ",1,1
"37399",37399,6166422,840,34,51,101,2003,700,"JAMESTOWN",1,38.6981367,-89.5364836,31,22,1,1,0,0,0,0,0,0,0,6,2,1070250,55,55,NA,"F",0,2,0,2,503,812,"0   ",1,1
"37400",37400,6236807,840,34,51,101,2004,700,"JAMESTOWN",1,38.6981367,-89.5364836,31,22,1,1,0,0,0,0,0,0,0,6,2,1070250,67,68,NA,"F",2,3,1,1,503,905,"NULL",1,1
"37401",37401,6235375,840,34,51,101,2005,700,"JAMESTOWN",1,38.6981367,-89.5364836,31,22,1,1,0,0,0,0,0,0,0,6,3,1070250,68,70,NA,"F",0,0,2,2,503,955,"0   ",1,1
"37402",37402,6251878,840,34,51,101,2006,700,"JAMESTOWN",1,38.6981367,-89.5364836,31,22,1,1,0,0,0,0,0,0,0,5,29,1070250,66,65,NA,"F",1,3,1,1,503,1002,"NULL",1,1
"37403",37403,6260855,840,34,51,101,2007,700,"JAMESTOWN",1,38.6981367,-89.5364836,31,22,1,1,0,0,0,0,0,0,0,6,2,1070250,60,65,NA,"F",0,2,1,2,503,913,"NULL",1,1
"37404",37404,6299636,840,34,51,101,2008,700,"JAMESTOWN",1,38.6981367,-89.5364836,31,22,1,1,0,0,0,0,0,0,0,6,2,1070250,62,65,NA,"F",0,0,2,2,503,925,"NULL",1,1
"37405",37405,6311025,840,34,51,101,2009,700,"JAMESTOWN",1,38.6981367,-89.5364836,31,22,1,1,0,0,0,0,0,0,0,6,2,1070250,70,69,NA,"F",1,1,1,1,503,1027,"NULL",1,1
"37406",37406,6317416,840,34,51,101,2010,700,"JAMESTOWN",1,38.6981367,-89.5364836,31,22,1,1,0,0,0,0,0,0,0,6,7,1070250,64,65,NA,"F",1,1,1,1,503,906,"NULL",1,1
"37407",37407,6341836,840,34,51,101,2011,700,"JAMESTOWN",1,38.6981367,-89.5364836,31,22,1,1,0,0,0,0,0,0,0,6,9,1070250,62,74,NA,"F",1,1,0,0,503,926,"NULL",1,1
"37408",37408,6345186,840,34,51,101,2012,700,"JAMESTOWN",1,38.6981367,-89.5364836,31,22,1,1,0,0,0,0,0,0,0,6,2,1070250,69,60,NA,"F",0,1,2,2,503,945,"NULL",1,1
"37409",37409,6351219,840,34,51,101,2013,700,"JAMESTOWN",1,38.6981367,-89.5364836,31,22,1,1,0,0,0,0,0,0,0,6,11,1070250,46,68,NA,"F",1,1,1,1,503,930,"0   ",1,1
"37410",37410,6355844,840,34,51,101,2014,700,"JAMESTOWN",1,38.6981367,-89.5364836,31,22,1,1,0,0,0,0,0,0,0,6,7,1070250,50,64,NA,"F",0,0,1,1,503,920,"0   ",1,1
"37411",37411,6357729,840,34,51,101,2015,700,"JAMESTOWN",1,38.6981367,-89.5364836,31,22,1,1,0,0,0,0,0,0,0,6,4,1070250,59,62,NA,"F",2,2,1,1,503,823,"0   ",1,1
"37412",37412,6361414,840,34,51,101,2016,700,"JAMESTOWN",1,38.6981367,-89.5364836,31,22,1,1,0,0,0,0,0,0,0,6,8,1070250,52,55,NA,"F",0,0,0,0,503,809,"0   ",1,1
"37413",37413,6366047,840,34,51,101,2017,700,"JAMESTOWN",1,38.6981367,-89.5364836,31,22,1,1,0,0,0,0,0,0,0,6,2,1070250,51,63,NA,"F",0,0,2,1,503,843,"0   ",1,1
"37414",37414,6370078,840,34,51,101,2018,700,"JAMESTOWN",1,38.6981367,-89.5364836,31,22,1,1,0,0,0,0,0,0,0,6,2,1070250,62,71,NA,"F",0,1,1,1,503,932,"0   ",1,1
"37415",37415,6371539,840,34,51,101,2019,700,"JAMESTOWN",1,38.6981367,-89.5364836,31,22,1,1,0,0,0,0,0,0,0,6,9,1070250,62,68,NA,"F",2,1,2,1,503,935,"0   ",1,1
"37416",37416,6375982,840,34,51,101,2021,700,"JAMESTOWN",1,38.6981367,-89.5364836,31,22,1,1,0,0,0,0,0,0,0,6,20,1070250,54,73,NA,"F",2,2,2,2,503,928,"0   ",1,1
"37417",37417,6379324,840,34,51,101,2022,700,"JAMESTOWN",1,38.6981367,-89.5364836,31,22,1,1,0,0,0,0,0,0,0,6,1,1070250,57,71,NA,"F",2,1,2,2,503,901,"0   ",1,1
"37418",37418,6382736,840,34,51,101,2023,700,"JAMESTOWN",1,38.6981367,-89.5364836,31,22,1,1,0,0,0,0,0,0,0,6,13,1070250,60,52,NA,"F",0,2,1,1,503,853,"0   ",1,1
"37444",37444,6245138,840,34,52,101,2001,700,"ST MORGAN",0,38.6699717,-89.6602444,31,22,1,1,0,0,0,0,0,0,0,6,12,1090461,71,68,NA,"F",0,1,1,2,503,935,"0   ",1,1
"37445",37445,6246197,840,34,52,101,2002,700,"ST MORGAN",0,38.6699717,-89.6602444,31,22,1,1,0,0,0,0,0,0,0,6,16,1090461,72,59,NA,"F",0,2,2,2,503,917,"0   ",1,1
"37446",37446,6165797,840,34,52,101,2003,700,"ST MORGAN",0,38.6699717,-89.6602444,31,22,1,1,0,0,0,0,0,0,0,6,12,1090461,72,62,NA,"F",0,0,1,2,503,914,"0   ",1,1
"37447",37447,6237037,840,34,52,101,2004,700,"ST MORGAN",0,38.6699717,-89.6602444,31,22,1,1,0,0,0,0,0,0,0,6,19,1090461,71,61,NA,"F",2,2,1,1,503,918,"0   ",1,1
"37448",37448,6236262,840,34,52,101,2005,700,"ST MORGAN",0,38.6699717,-89.6602444,31,22,1,1,0,0,0,0,0,0,0,6,18,1090461,70,58,NA,"F",0,2,0,0,503,911,"0   ",1,1
"37449",37449,6251879,840,34,52,101,2006,700,"ST MORGAN",0,38.6699717,-89.6602444,31,22,1,1,0,0,0,0,0,0,0,6,15,1090461,68,63,NA,"F",0,1,0,1,503,917,"NULL",1,1
"37450",37450,6261300,840,34,52,101,2007,700,"ST MORGAN",0,38.6699717,-89.6602444,31,22,1,1,0,0,0,0,0,0,0,6,3,1090461,71,62,NA,"F",0,3,0,0,503,917,"NULL",1,1
"37451",37451,6298328,840,34,52,101,2008,700,"ST MORGAN",0,38.6699717,-89.6602444,31,22,1,1,0,0,0,0,0,0,0,6,7,1090461,71,63,NA,"F",3,2,2,1,503,927,"NULL",1,1
"37452",37452,6310976,840,34,52,101,2009,700,"ST MORGAN",0,38.6699717,-89.6602444,31,22,1,1,0,0,0,0,0,0,0,6,6,1090461,74,58,NA,"F",0,2,0,2,503,914,"NULL",1,1
"37453",37453,6317577,840,34,52,101,2010,700,"ST MORGAN",0,38.6699717,-89.6602444,31,22,1,1,0,0,0,0,0,0,0,6,5,1090461,67,77,NA,"F",0,1,2,2,503,908,"NULL",1,1
"37454",37454,6341837,840,34,52,101,2011,700,"ST MORGAN",0,38.6699717,-89.6602444,31,22,1,1,0,0,0,0,0,0,0,6,5,1090461,70,72,NA,"F",0,2,0,2,503,849,"NULL",1,1
"37455",37455,6344551,840,34,52,101,2012,700,"ST MORGAN",0,38.6699717,-89.6602444,31,22,1,1,0,0,0,0,0,0,0,6,3,1090461,77,55,NA,"F",0,1,0,0,503,921,"NULL",1,1
"37456",37456,6351080,840,34,52,101,2013,700,"ST MORGAN",0,38.6699717,-89.6602444,31,22,1,1,0,0,0,0,0,0,0,6,15,1090461,64,68,NA,"F",0,2,2,2,503,907,"0   ",1,1
"37457",37457,6354841,840,34,52,101,2014,700,"ST MORGAN",0,38.6699717,-89.6602444,31,22,1,1,0,0,0,0,0,0,0,6,15,1090461,69,60,NA,"F",1,2,1,2,503,911,"0   ",1,1
"37458",37458,6358161,840,34,52,101,2015,700,"ST MORGAN",0,38.6699717,-89.6602444,31,22,1,1,0,0,0,0,0,0,0,6,14,1090461,64,75,NA,"F",3,3,2,2,503,901,"0   ",1,1
"37459",37459,6361496,840,34,52,101,2016,700,"ST MORGAN",0,38.6699717,-89.6602444,31,22,1,1,0,0,0,0,0,0,0,6,4,1090461,63,68,NA,"F",0,0,2,2,503,921,"0   ",1,1
"37460",37460,6364587,840,34,52,101,2017,700,"ST MORGAN",0,38.6699717,-89.6602444,31,22,1,1,0,0,0,0,0,0,0,6,4,1090461,70,69,NA,"F",0,0,2,2,503,855,"0   ",1,1
"37461",37461,6367523,840,34,52,101,2018,700,"ST MORGAN",0,38.6699717,-89.6602444,31,22,1,1,0,0,0,0,0,0,0,6,3,1090461,69,68,NA,"F",3,2,0,0,503,858,"0   ",1,1
"37462",37462,6374580,840,34,52,101,2021,700,"ST MORGAN",0,38.6699717,-89.6602444,31,22,1,1,0,0,0,0,0,0,0,6,6,1090461,74,70,NA,"F",1,2,2,1,503,902,"0   ",1,1
